1	96_WELLS_8X12	2008-11-05 09:18:00.622+01	1	1	\N	\N	1	t
2	384_WELLS_16X24	2008-11-05 09:18:00.622+01	1	1	\N	\N	2	t
3	1536_WELLS_32X48	2008-11-05 09:18:00.622+01	1	1	\N	\N	3	t
4	PROPRIETARY	2008-11-05 09:18:00.622+01	2	1	proprietary label	proprietary description	1	t
5	BDS_DIRECTORY	2008-11-05 09:18:00.622+01	2	1	\N	\N	2	t
6	RAT	2008-11-05 09:18:30.327+01	3	2	\N	the rat	1	t
7	DOG	2008-11-05 09:18:30.327+01	3	2	\N	doggy	2	t
8	HUMAN	2008-11-05 09:18:30.327+01	3	2	\N	a human	3	t
9	GORILLA	2008-11-05 09:18:30.327+01	3	2	\N	a gorilla is a gorilla	4	t
10	FLY	2008-11-05 09:18:30.327+01	3	2	\N	a fly flies	5	t
11	MALE	2008-11-05 09:18:30.421+01	4	2	\N	\N	1	t
12	FEMALE	2008-11-05 09:18:30.421+01	4	2	\N	\N	2	t
13	MAN	2008-11-05 09:18:30.983+01	5	2	\N	\N	1	t
14	WOMAN	2008-11-05 09:18:30.983+01	5	2	\N	\N	2	t
15	CHILD	2008-11-05 09:18:31.061+01	5	2	\N	\N	3	t
16	TEST_TERM_A	2008-11-05 09:18:31.061+01	6	2	\N	\N	1	t
17	TEST_TERM_B	2008-11-05 09:18:31.061+01	6	2	\N	\N	2	t
